compound,odd_even,initial mcr,charge_1,mcr_c1,charge_2,mcr_c2,charge_3,mcr_c3,charge_4,mcr_c4,charge_5,mcr_c5,charge_6,mcr_c6,charge_7,mcr_c7,charge_8,mcr_c8
cattetronate,1,259.0976,3,15.99491,2,14.01565,1,-18.0106,2,2.01565,,,,,,,,
butyrolactol,1,525.3069,1,-15.99491,1,15.99491,2,14.01565,2,-14.0157,1,18.01056,1,-18.0106,1,2.01565,1,-2.01565
cattlemycin,0,658.3597,2,-15.99491,2,15.99491,2,15.01565,2,-14.0157,1,18.01056,1,-18.0106,1,2.01565,1,-2.01565
