id,rt,mz,integer,decimal
7,3.125272,120.03989429074534,120,0.03989429074533746
101,12.59565,149.0172305204634,149,0.0172305204633858
83,12.187439,163.06895105243987,163,0.06895105243987132
84,12.158025,163.07328657593465,163,0.07328657593464527
33,7.6188774,163.14200809862578,163,0.14200809862578012
42,8.772344,172.16291855826842,172,0.16291855826841584
43,8.777575,172.16762636733785,172,0.16762636733784575
2,2.3592582,181.09228910216217,181,0.09228910216216946
3,2.418375,185.12026797843723,185,0.12026797843722647
22,6.364689,186.05140931182612,186,0.051409311826120074
34,7.6188774,191.1359587140172,191,0.1359587140171925
71,10.4865,198.1849278244226,198,0.18492782442260136
82,12.011683,203.1734035631561,203,0.17340356315611416
102,12.59565,205.07763819891952,205,0.07763819891951584
35,7.6188774,209.1457100169172,209,0.14571001691720653
31,7.4668164,209.145957592536,209,0.14595759253600704
9,3.551878,211.1363307598131,211,0.13633075981309162
11,4.0614166,211.1364062682259,211,0.13640626822589752
8,3.5657668,211.142114376808,211,0.14211437680799577
12,4.0721664,211.14223902931616,211,0.1422390293161584
6,3.0554,212.10867328332347,212,0.10867328332346915
4,3.050825,212.11642538261367,212,0.11642538261367008
19,6.083658,212.1584961653815,212,0.15849616538150713
39,8.1483,213.09058620748104,213,0.09058620748103863
40,8.166367,213.1022074731396,213,0.10220747313960032
16,5.1412,213.1521151441951,213,0.15211514419510763
38,7.847567,225.140092450207,225,0.14009245020699268
37,7.7370834,226.1800627811548,226,0.18006278115478835
32,7.614405,227.1557764863584,227,0.15577648635840546
18,6.007117,227.16698024236084,227,0.16698024236083597
41,8.661333,228.1955550158195,228,0.19555501581950807
14,4.7889333,245.11948091478496,245,0.11948091478495826
13,4.485361,245.11948386037497,245,0.11948386037497016
15,4.6490417,245.12618557997467,245,0.12618557997467406
17,5.5883837,247.1329041480838,247,0.13290414808381001
20,6.1728387,255.05569898307508,255,0.05569898307507515
168,15.009972,256.25179251684375,256,0.25179251684375004
169,15.013425,256.2586748144942,256,0.2586748144942135
21,6.252772,261.15014902220787,261,0.15014902220787008
55,10.003061,263.21181836867794,263,0.2118183686779389
56,10.017359,263.21903874707766,263,0.21903874707766136
183,16.094854,265.24008645119665,265,0.24008645119664607
23,6.5115666,268.16606644277397,268,0.16606644277396754
26,7.132275,271.05234550589375,271,0.05234550589375431
44,9.145733,274.2712014092484,274,0.2712014092484196
5,2.9917583,277.1471869441875,277,0.1471869441875242
25,6.7451086,279.1463151589485,279,0.14631515894848235
148,14.131267,280.2509595159645,280,0.25095951596449595
149,14.138592,280.25845470459114,280,0.25845470459114495
174,15.2833605,282.2660940061705,282,0.2660940061704764
175,15.2959585,282.2739043251696,282,0.2739043251696103
27,7.368767,283.1408416528758,283,0.14084165287579253
28,7.384508,283.1486043061495,283,0.14860430614947973
184,16.094854,283.2498148433437,283,0.24981484334369952
182,16.09584,283.25758287224903,283,0.2575828722490314
188,16.758774,284.28107753950206,284,0.28107753950206416
189,16.762241,284.2888419040433,284,0.288841904043295
24,6.6726165,288.1339553183434,288,0.13395531834339636
1,2.199522,300.0972940671668,300,0.09729406716678568
105,12.644912,305.2563460280084,305,0.25634602800840867
104,12.6427,305.26444581390376,305,0.26444581390376243
57,10.078912,307.2363762251948,307,0.23637622519481738
58,10.0979,307.2448196298749,307,0.2448196298748826
165,14.7460165,309.22854056431413,309,0.22854056431413028
164,14.751117,309.23681122108815,309,0.23681122108814634
190,16.943241,310.30387994270643,310,0.3038799427064305
185,16.265116,334.3063353179296,334,0.30633531792960866
192,17.256823,336.3098691283387,336,0.30986912833867564
193,17.26625,336.3186775293288,336,0.3186775293287951
150,14.15225,336.32312286997796,336,0.3231228699779649
204,18.477322,338.3246722558652,338,0.32467225586520954
203,18.450916,338.3331709358863,338,0.33317093588630087
207,20.28685,340.351559719573,340,0.3515597195730038
103,12.615784,349.2899649050084,349,0.28996490500838945
60,10.145894,351.26118221145026,351,0.26118221145026155
61,10.151434,351.2707610991811,351,0.2707610991810725
170,15.134434,352.3171636849731,352,0.31716368497308167
163,14.6775,352.3174982320551,352,0.31749823205507255
178,15.673083,354.332795568773,354,0.3327955687730082
74,11.198616,358.18446208948984,358,0.18446208948984122
73,11.196275,358.19092964627987,358,0.1909296462798693
30,7.377678,359.19031497219703,359,0.19031497219702942
29,7.3777504,359.20016589964075,359,0.20016589964075138
133,13.440422,363.2951707498332,363,0.2951707498331757
132,13.438467,363.3046705994805,363,0.30467059948051656
206,20.155817,366.3667169022245,366,0.36671690222448206
59,10.1414,368.28710553541686,368,0.28710553541685613
62,10.151434,368.297203710048,368,0.2972037100479952
197,17.562561,391.2651779729306,391,0.2651779729305872
196,17.55529,391.2756900062085,391,0.2756900062084924
45,9.172874,406.1837136350578,406,0.18371363505781346
46,9.1955,406.20241639378173,406,0.20241639378173204
63,10.181517,412.31159976239655,412,0.31159976239655407
64,10.185041,412.3228584287556,412,0.32285842875558046
151,14.180484,421.33380190755526,421,0.3338019075552552
153,14.192383,421.3450381325968,421,0.3450381325968124
194,17.274551,423.3093880799595,423,0.3093880799594899
195,17.279682,423.3164024205057,423,0.3164024205057103
205,19.393642,427.367989611244,427,0.3679896112440133
198,17.914173,431.1575813048297,431,0.157581304829705
152,14.184967,438.3595703182644,438,0.3595703182643888
154,14.192383,438.37126403282286,438,0.37126403282286446
47,9.317033,449.7931965266416,449,0.7931965266416228
98,12.528295,454.3555662204296,454,0.35556622042957997
100,12.535008,454.36759916957334,454,0.3675991695733387
65,10.221839,456.3360297060701,456,0.3360297060701214
